entry_time,exit_time,direction,pattern,entry,sl,tp,exit_price,pnl_points,bars_held,outcome,month
2024-12-30 23:55:00,2024-12-31 04:55:00,1,bb,2606.45,2602.98,2613.3899999999994,2607.14,0.3900000000000546,48,EOD,2024-12
2024-12-31 05:10:00,2024-12-31 09:10:00,1,bb,2607.16,2602.44,2616.5999999999995,2608.35,0.8900000000000545,48,EOD,2024-12
2024-12-31 12:40:00,2024-12-31 15:10:00,1,bb,2612.34,2607.85,2621.3200000000006,2607.85,-4.790000000000236,30,SL,2024-12
2024-12-31 15:30:00,2024-12-31 19:30:00,1,bb,2614.51,2602.37,2638.790000000001,2623.92,9.109999999999854,48,EOD,2024-12
2024-12-31 20:20:00,2025-01-02 01:20:00,1,bb,2625.59,2619.49,2637.790000000001,2623.66,-2.230000000000291,48,EOD,2024-12
2025-01-02 01:45:00,2025-01-02 03:15:00,1,bb,2622.97,2618.72,2631.47,2631.47,8.2,18,TP,2025-01
2025-01-02 06:15:00,2025-01-02 10:15:00,1,bb,2632.54,2629.08,2639.46,2634.53,1.6900000000002364,48,EOD,2025-01
2025-01-02 10:25:00,2025-01-02 12:15:00,1,bb,2633.34,2628.31,2643.4000000000005,2643.4000000000005,9.7600000000004,22,TP,2025-01
2025-01-02 12:20:00,2025-01-02 16:20:00,1,bb,2645.52,2629.71,2677.14,2646.41,0.5899999999998726,48,EOD,2025-01
2025-01-03 03:30:00,2025-01-03 07:30:00,1,bb,2658.88,2654.96,2666.7200000000003,2659.45,0.269999999999709,48,EOD,2025-01
2025-01-03 11:40:00,2025-01-03 13:05:00,-1,bb,2654.04,2658.81,2644.5,2658.81,-5.069999999999982,17,SL,2025-01
2025-01-03 21:10:00,2025-01-06 02:10:00,-1,bb,2641.92,2645.91,2633.9400000000005,2639.17,2.45,48,EOD,2025-01
2025-01-06 05:25:00,2025-01-06 06:10:00,1,bb,2642.16,2637.8,2650.879999999999,2637.8,-4.659999999999672,9,SL,2025-01
2025-01-06 11:20:00,2025-01-06 13:15:00,-1,bb,2635.05,2638.74,2627.670000000001,2638.74,-3.9899999999995996,23,SL,2025-01
2025-01-06 20:10:00,2025-01-07 01:10:00,1,bb,2635.29,2630.78,2644.3099999999995,2635.55,-0.03999999999978171,48,EOD,2025-01
2025-01-07 06:30:00,2025-01-07 08:05:00,1,bb,2638.15,2634.38,2645.69,2645.69,7.239999999999964,19,TP,2025-01
2025-01-07 09:55:00,2025-01-07 13:55:00,1,bb,2640.53,2635.04,2651.5100000000007,2648.44,7.609999999999855,48,EOD,2025-01
2025-01-07 17:10:00,2025-01-07 21:10:00,1,bb,2648.4,2639.14,2666.9200000000005,2649.22,0.5199999999997089,48,EOD,2025-01
