entry_time,exit_time,direction,pattern,entry,sl,tp,exit_price,pnl_points,bars_held,outcome
2026-02-17 04:32:00,2026-02-17 05:00:00,-1,P2,4962.25,4967.389725935115,4946.8308221946545,4967.389725935115,-5.439725935115166,28,SL
2026-02-17 05:13:00,2026-02-17 07:07:00,-1,P2,4959.47,4965.871761572531,4940.264715282408,4940.264715282408,18.905284717591893,114,TP
2026-02-17 08:15:00,2026-02-17 08:18:00,-1,P2,4887.47,4892.2785100168,4873.0444699496,4892.2785100168,-5.108510016800028,3,SL
2026-02-17 09:30:00,2026-02-17 09:33:00,-1,P2,4905.33,4910.781086165156,4888.976741504532,4910.781086165156,-5.751086165156084,3,SL
2026-02-17 11:17:00,2026-02-17 11:52:00,-1,P2,4921.27,4925.123807384503,4909.708577846492,4925.123807384503,-4.153807384502943,35,SL
2026-02-17 13:34:00,2026-02-17 13:42:00,-1,P2,4924.64,4927.874350524561,4914.936948426318,4927.874350524561,-3.5343505245607956,8,SL
2026-02-17 13:56:00,2026-02-17 13:59:00,-1,P2,4922.94,4928.011317021896,4907.726048934312,4928.011317021896,-5.371317021895993,3,SL
2026-02-17 15:56:00,2026-02-17 19:56:00,-1,P2,4897.97,4916.625351593462,4842.003945219614,4861.63,36.04000000000015,240,EOD
2026-02-18 03:59:00,2026-02-18 04:34:00,1,P2,4890.01,4885.182484646249,4904.492546061255,4904.492546061255,14.182546061254651,35,TP
2026-02-18 05:55:00,2026-02-18 06:33:00,1,P2,4921.5,4917.015922318765,4934.952233043706,4934.952233043706,13.152233043705746,38,TP
2026-02-18 07:29:00,2026-02-18 08:01:00,1,P2,4935.36,4932.7953627974775,4943.053911607566,4932.7953627974775,-2.864637202522135,32,SL
2026-02-18 09:06:00,2026-02-18 09:48:00,1,P2,4938.56,4931.519807758678,4959.680576723967,4931.519807758678,-7.340192241322074,42,SL
2026-02-18 11:23:00,2026-02-18 12:30:00,1,P2,4921.42,4915.668091689689,4938.675724930932,4915.668091689689,-6.051908310310682,67,SL
2026-02-18 14:42:00,2026-02-18 15:01:00,1,P2,4930.26,4922.272701580664,4954.221895258009,4954.221895258009,23.661895258008553,19,TP
2026-02-18 15:34:00,2026-02-18 15:42:00,1,P2,4958.76,4954.08388498727,4972.788345038191,4954.08388498727,-4.976115012730406,8,SL
2026-02-18 16:01:00,2026-02-18 16:32:00,1,P2,4956.47,4952.031166182155,4969.7865014535355,4969.7865014535355,13.016501453535238,31,TP
2026-02-18 18:02:00,2026-02-18 18:20:00,1,P2,5000.85,4996.423131719098,5014.130604842708,4996.423131719098,-4.726868280902454,18,SL
2026-02-18 18:33:00,2026-02-18 19:34:00,1,P2,5001.17,4994.891551920391,5020.005344238827,4994.891551920391,-6.578448079609006,61,SL
2026-02-18 19:45:00,2026-02-18 20:19:00,1,P2,4998.77,4995.661763546927,5008.094709359219,4995.661763546927,-3.4082364530730045,34,SL
2026-02-18 22:04:00,2026-02-18 22:07:00,1,P2,4984.04,4979.25470934823,4998.39587195531,4979.25470934823,-5.085290651770083,3,SL
2026-02-18 22:33:00,2026-02-18 23:54:00,1,P2,4981.34,4977.3259050264605,4993.382284920619,4977.3259050264605,-4.314094973539613,81,SL
2026-02-19 04:15:00,2026-02-19 05:31:00,-1,P2,4970.91,4975.625663125675,4956.763010622975,4975.625663125675,-5.015663125674837,76,SL
2026-02-19 06:31:00,2026-02-19 06:45:00,1,P2,4983.02,4979.261315389429,4994.296053831715,4979.261315389429,-4.058684610571436,14,SL
2026-02-19 07:31:00,2026-02-19 08:16:00,1,P2,4990.08,4986.76914406471,5000.0125678058685,5000.0125678058685,9.63256780586853,45,TP
2026-02-19 09:32:00,2026-02-19 09:40:00,1,P2,5019.62,5015.904959590746,5030.765121227761,5015.904959590746,-4.015040409253561,8,SL
2026-02-19 13:16:00,2026-02-19 15:38:00,-1,P2,4979.72,4993.397535107569,4938.687394677295,4993.397535107569,-13.977535107568475,142,SL
2026-02-19 16:32:00,2026-02-19 16:38:00,-1,P2,4974.43,4980.324312599444,4956.747062201669,4980.324312599444,-6.194312599443765,6,SL
2026-02-19 17:27:00,2026-02-19 18:07:00,1,P2,5011.14,5001.582733585382,5039.811799243856,5001.582733585382,-9.857266414618426,40,SL
2026-02-19 18:41:00,2026-02-19 18:48:00,1,P2,5007.2,5001.149682372549,5025.3509528823515,5001.149682372549,-6.3503176274505675,7,SL
