ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode,sl_method
ribbon_only,both,4.000,3.000,736,23.234,19.429,75.815,407.428,0.554,1.101,349.053,7.281,75.543,24.457,m1,ema21
ribbon_only,P2,2.000,2.000,299,40.134,39.465,59.197,403.723,1.350,1.311,86.836,2.962,0.000,100.000,m1,ema21
ribbon_only,both,5.000,2.000,758,20.976,16.755,78.364,398.436,0.526,1.107,372.190,7.499,75.066,24.934,m1,ema21
ribbon_ema55,both,5.000,2.000,745,21.208,17.315,78.121,390.784,0.525,1.106,427.919,7.370,72.752,27.248,m1,ema21
ribbon_ema55_ema100,both,3.000,3.000,764,28.010,25.916,71.335,361.361,0.473,1.091,358.333,7.558,74.215,25.785,m1,ema21
ribbon_ema100,both,3.000,3.000,764,28.010,25.916,71.335,361.361,0.473,1.091,358.333,7.558,74.215,25.785,m1,ema21
ribbon_ema55,both,5.000,3.000,677,22.157,15.657,76.662,359.355,0.531,1.095,367.832,6.697,72.821,27.179,m1,ema21
ribbon_ema55,P2,1.500,3.000,310,45.806,45.484,53.871,338.457,1.092,1.249,126.127,3.071,0.000,100.000,m1,ema21
ribbon_ema100,P2,2.000,3.000,299,37.458,36.789,61.873,337.768,1.130,1.230,145.120,2.962,0.000,100.000,m1,ema21
ribbon_ema55_ema100,P2,2.000,3.000,299,37.458,36.789,61.873,337.768,1.130,1.230,145.120,2.962,0.000,100.000,m1,ema21
ribbon_only,both,3.000,3.000,789,27.757,25.729,71.483,322.543,0.409,1.077,312.227,7.805,76.426,23.574,m1,ema21
ribbon_only,P2,1.500,3.000,299,45.151,44.816,54.515,308.946,1.033,1.230,107.127,2.962,0.000,100.000,m1,ema21
ribbon_ema55_ema100,both,5.000,2.000,746,20.375,16.354,78.954,301.936,0.405,1.083,353.730,7.380,72.386,27.614,m1,ema21
ribbon_ema100,both,5.000,2.000,746,20.375,16.354,78.954,301.936,0.405,1.083,353.730,7.380,72.386,27.614,m1,ema21
ribbon_only,both,5.000,3.000,692,21.243,15.029,77.601,301.115,0.435,1.077,333.903,6.846,75.145,24.855,m1,ema21
ribbon_ema55_ema100,P2,2.000,2.000,311,38.264,37.621,61.093,288.922,0.929,1.213,107.467,3.081,0.000,100.000,m1,ema21
ribbon_ema100,P2,2.000,2.000,311,38.264,37.621,61.093,288.922,0.929,1.213,107.467,3.081,0.000,100.000,m1,ema21
ribbon_ema55,P2,1.500,2.000,322,44.720,44.410,54.969,234.601,0.729,1.184,102.122,3.190,0.000,100.000,m1,ema21
ribbon_ema55_ema100,both,5.000,3.000,671,21.162,14.605,77.645,224.206,0.334,1.061,375.966,6.638,72.131,27.869,m1,ema21
ribbon_ema100,both,5.000,3.000,671,21.162,14.605,77.645,224.206,0.334,1.061,375.966,6.638,72.131,27.869,m1,ema21
ribbon_ema100,P2,1.500,3.000,308,43.506,43.182,56.169,215.366,0.699,1.155,151.429,3.051,0.000,100.000,m1,ema21
ribbon_ema55_ema100,P2,1.500,3.000,308,43.506,43.182,56.169,215.366,0.699,1.155,151.429,3.051,0.000,100.000,m1,ema21
ribbon_only,P2,1.500,2.000,309,43.689,43.366,55.987,202.287,0.655,1.161,85.121,3.061,0.000,100.000,m1,ema21
ribbon_only,P1,3.000,2.000,791,27.434,26.675,72.314,166.877,0.211,1.046,358.461,7.830,100.000,0.000,m1,ema21
ribbon_ema55,P2,1.000,3.000,320,54.375,54.375,45.625,165.723,0.518,1.137,98.377,3.171,0.000,100.000,m1,ema21
ribbon_ema100,P1,3.000,3.000,704,27.557,25.852,72.017,163.903,0.233,1.046,426.451,6.969,100.000,0.000,m1,ema21
ribbon_ema55_ema100,P1,3.000,3.000,704,27.557,25.852,72.017,163.903,0.233,1.046,426.451,6.969,100.000,0.000,m1,ema21
ribbon_ema55,P2,1.000,2.000,329,54.711,54.711,45.289,154.710,0.470,1.142,85.104,3.260,0.000,100.000,m1,ema21
ribbon_ema100,P1,3.000,2.000,763,27.392,26.737,72.477,145.632,0.191,1.042,456.686,7.553,100.000,0.000,m1,ema21
ribbon_ema55_ema100,P1,3.000,2.000,763,27.392,26.737,72.477,145.632,0.191,1.042,456.686,7.553,100.000,0.000,m1,ema21
ribbon_ema55_ema100,P2,1.500,2.000,320,42.812,42.500,56.875,139.782,0.437,1.108,124.424,3.170,0.000,100.000,m1,ema21
ribbon_ema100,P2,1.500,2.000,320,42.812,42.500,56.875,139.782,0.437,1.108,124.424,3.170,0.000,100.000,m1,ema21
ribbon_only,P2,1.000,2.000,315,53.968,53.968,46.032,137.469,0.436,1.128,75.717,3.121,0.000,100.000,m1,ema21
ribbon_only,P2,1.000,3.000,308,52.922,52.922,47.078,123.847,0.402,1.102,106.164,3.052,0.000,100.000,m1,ema21
ribbon_ema55,P1,3.000,2.000,772,27.202,26.554,72.539,105.857,0.137,1.030,363.654,7.642,100.000,0.000,m1,ema21
ribbon_ema100,P2,1.000,3.000,318,52.830,52.830,47.170,99.645,0.313,1.081,103.365,3.151,0.000,100.000,m1,ema21
ribbon_ema55_ema100,P2,1.000,3.000,318,52.830,52.830,47.170,99.645,0.313,1.081,103.365,3.151,0.000,100.000,m1,ema21
ribbon_ema55_ema100,P2,1.000,2.000,326,53.067,53.067,46.933,98.656,0.303,1.090,92.452,3.230,0.000,100.000,m1,ema21
ribbon_ema100,P2,1.000,2.000,326,53.067,53.067,46.933,98.656,0.303,1.090,92.452,3.230,0.000,100.000,m1,ema21
ribbon_ema55_ema100,P1,5.000,2.000,682,19.648,16.422,80.059,81.005,0.119,1.025,423.037,6.751,100.000,0.000,m1,ema21
ribbon_ema100,P1,5.000,2.000,682,19.648,16.422,80.059,81.005,0.119,1.025,423.037,6.751,100.000,0.000,m1,ema21
ribbon_only,both,2.000,2.000,968,36.570,36.260,63.120,74.700,0.077,1.018,399.309,9.576,75.517,24.483,m1,ema21
ribbon_ema55_ema100,both,2.000,2.000,954,36.059,35.954,63.417,71.855,0.075,1.018,522.910,9.438,73.690,26.310,m1,ema21
ribbon_ema100,both,2.000,2.000,954,36.059,35.954,63.417,71.855,0.075,1.018,522.910,9.438,73.690,26.310,m1,ema21
