ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode,sl_method
ribbon_ema55_ema100,P2,3.000,3.000,242,35.124,22.727,61.983,585.110,2.418,1.305,188.810,2.397,0.000,100.000,m1,swing3m
ribbon_ema100,P2,3.000,3.000,242,35.124,22.727,61.983,585.110,2.418,1.305,188.810,2.397,0.000,100.000,m1,swing3m
ribbon_only,P1,4.000,2.000,516,27.326,15.698,67.248,560.130,1.086,1.150,510.270,5.107,100.000,0.000,m1,swing3m
ribbon_ema55,P2,1.000,3.000,284,57.042,56.338,41.901,557.600,1.963,1.364,128.490,2.813,0.000,100.000,m1,swing3m
ribbon_ema100,P2,3.000,2.000,251,33.068,23.506,64.542,548.340,2.185,1.291,212.400,2.486,0.000,100.000,m1,swing3m
ribbon_ema55_ema100,P2,3.000,2.000,251,33.068,23.506,64.542,548.340,2.185,1.291,212.400,2.486,0.000,100.000,m1,swing3m
ribbon_only,P1,4.000,3.000,486,27.366,14.403,66.461,535.590,1.102,1.143,451.100,4.808,100.000,0.000,m1,swing3m
ribbon_only,P2,1.000,3.000,276,56.159,55.435,42.754,517.730,1.876,1.339,118.310,2.734,0.000,100.000,m1,swing3m
ribbon_ema55_ema100,P2,1.000,3.000,278,56.115,55.396,42.806,495.600,1.783,1.322,132.760,2.754,0.000,100.000,m1,swing3m
ribbon_ema100,P2,1.000,3.000,278,56.115,55.396,42.806,495.600,1.783,1.322,132.760,2.754,0.000,100.000,m1,swing3m
ribbon_ema55,P2,1.000,2.000,288,56.250,55.556,43.403,487.750,1.694,1.336,131.500,2.853,0.000,100.000,m1,swing3m
ribbon_only,both,5.000,2.000,506,25.099,11.067,69.960,483.250,0.955,1.124,606.920,5.006,77.668,22.332,m1,swing3m
ribbon_only,both,4.000,3.000,490,27.755,14.898,66.327,477.840,0.975,1.119,583.020,4.847,78.367,21.633,m1,swing3m
ribbon_only,both,4.000,2.000,521,27.447,15.931,67.179,476.650,0.915,1.119,586.860,5.154,77.351,22.649,m1,swing3m
ribbon_only,P1,5.000,3.000,458,25.983,8.952,67.249,465.330,1.016,1.132,526.120,4.531,100.000,0.000,m1,swing3m
ribbon_only,P2,1.000,2.000,280,55.357,54.643,44.286,453.880,1.621,1.314,119.700,2.774,0.000,100.000,m1,swing3m
ribbon_ema100,P2,1.000,2.000,281,54.804,54.093,44.840,395.290,1.407,1.268,147.750,2.784,0.000,100.000,m1,swing3m
ribbon_ema55_ema100,P2,1.000,2.000,281,54.804,54.093,44.840,395.290,1.407,1.268,147.750,2.784,0.000,100.000,m1,swing3m
ribbon_only,both,2.000,3.000,575,36.348,31.304,58.783,363.060,0.631,1.079,470.790,5.688,80.000,20.000,m1,swing3m
ribbon_only,P1,2.000,3.000,564,36.170,30.142,58.333,351.390,0.623,1.082,394.100,5.579,100.000,0.000,m1,swing3m
ribbon_only,P1,5.000,2.000,496,24.597,10.484,70.363,344.680,0.695,1.094,542.520,4.909,100.000,0.000,m1,swing3m
ribbon_only,P1,3.000,3.000,508,31.299,20.472,62.205,332.980,0.655,1.084,357.610,5.025,100.000,0.000,m1,swing3m
ribbon_ema55,P1,4.000,3.000,483,27.122,14.079,67.495,319.650,0.662,1.084,506.320,4.778,100.000,0.000,m1,swing3m
ribbon_ema55,both,4.000,3.000,487,28.131,14.579,66.940,318.420,0.654,1.079,649.370,4.818,75.770,24.230,m1,swing3m
ribbon_ema55,both,5.000,2.000,498,25.502,11.245,70.482,290.200,0.583,1.074,626.300,4.927,75.100,24.900,m1,swing3m
ribbon_ema55,P1,4.000,2.000,511,26.810,15.068,68.493,285.500,0.559,1.075,541.380,5.058,100.000,0.000,m1,swing3m
ribbon_only,P1,3.000,2.000,535,30.467,20.935,64.486,284.830,0.532,1.072,422.070,5.295,100.000,0.000,m1,swing3m
ribbon_only,both,3.000,3.000,507,31.558,20.513,62.327,278.760,0.550,1.067,509.380,5.016,79.290,20.710,m1,swing3m
ribbon_ema55,both,2.000,3.000,570,36.491,31.579,59.298,270.480,0.475,1.059,498.420,5.639,77.544,22.456,m1,swing3m
ribbon_ema55,both,4.000,2.000,514,27.821,15.370,67.704,266.140,0.518,1.066,630.210,5.085,75.097,24.903,m1,swing3m
ribbon_ema55,P1,5.000,3.000,453,25.828,9.051,67.991,250.310,0.553,1.070,576.830,4.481,100.000,0.000,m1,swing3m
ribbon_only,both,3.000,2.000,545,30.826,21.101,64.220,237.670,0.436,1.057,576.660,5.391,78.165,21.835,m1,swing3m
ribbon_ema55_ema100,both,5.000,3.000,469,24.947,8.955,70.149,226.310,0.483,1.058,457.660,4.640,75.267,24.733,m1,swing3m
ribbon_ema100,both,5.000,3.000,469,24.947,8.955,70.149,226.310,0.483,1.058,457.660,4.640,75.267,24.733,m1,swing3m
ribbon_only,P1,2.000,2.000,588,35.714,30.782,59.184,219.220,0.373,1.052,457.470,5.820,100.000,0.000,m1,swing3m
ribbon_only,both,2.000,2.000,614,36.156,31.596,59.283,194.120,0.316,1.042,547.400,6.074,78.990,21.010,m1,swing3m
ribbon_ema55,P1,2.000,3.000,558,35.842,29.749,59.140,188.360,0.338,1.044,401.590,5.520,100.000,0.000,m1,swing3m
ribbon_ema100,P1,4.000,2.000,502,26.096,14.741,69.920,156.000,0.311,1.042,420.460,4.969,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,P1,4.000,2.000,502,26.096,14.741,69.920,156.000,0.311,1.042,420.460,4.969,100.000,0.000,m1,swing3m
ribbon_ema55,both,3.000,3.000,504,31.548,19.841,63.294,125.240,0.248,1.030,581.190,4.986,76.786,23.214,m1,swing3m
ribbon_ema55,both,2.000,2.000,606,36.469,32.178,59.571,123.190,0.203,1.027,568.740,5.995,76.733,23.267,m1,swing3m
ribbon_ema55,both,3.000,2.000,538,31.413,21.190,64.498,107.300,0.199,1.026,592.320,5.322,75.836,24.164,m1,swing3m
ribbon_ema55,P1,3.000,3.000,505,30.693,19.604,63.564,106.540,0.211,1.026,412.970,4.996,100.000,0.000,m1,swing3m
ribbon_ema55,P1,3.000,2.000,529,30.435,20.605,65.217,97.240,0.184,1.024,427.000,5.236,100.000,0.000,m1,swing3m
ribbon_ema55,P1,2.000,2.000,578,35.467,30.623,59.862,90.710,0.157,1.021,489.220,5.721,100.000,0.000,m1,swing3m
ribbon_ema55,P1,5.000,2.000,489,24.131,10.429,71.575,82.050,0.168,1.022,573.240,4.840,100.000,0.000,m1,swing3m
ribbon_ema100,P1,5.000,2.000,482,24.066,10.788,72.199,50.060,0.104,1.014,407.450,4.771,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,P1,5.000,2.000,482,24.066,10.788,72.199,50.060,0.104,1.014,407.450,4.771,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,both,5.000,2.000,496,23.992,10.685,72.379,49.010,0.099,1.013,476.130,4.907,74.798,25.202,m1,swing3m
ribbon_ema100,both,5.000,2.000,496,23.992,10.685,72.379,49.010,0.099,1.013,476.130,4.907,74.798,25.202,m1,swing3m
ribbon_ema100,both,2.000,2.000,606,35.149,30.858,61.386,41.700,0.069,1.009,429.020,5.995,76.403,23.597,m1,swing3m
ribbon_ema55_ema100,both,2.000,2.000,606,35.149,30.858,61.386,41.700,0.069,1.009,429.020,5.995,76.403,23.597,m1,swing3m
ribbon_ema100,both,2.000,3.000,569,34.798,29.877,61.511,31.920,0.056,1.007,423.910,5.629,76.977,23.023,m1,swing3m
ribbon_ema55_ema100,both,2.000,3.000,569,34.798,29.877,61.511,31.920,0.056,1.007,423.910,5.629,76.977,23.023,m1,swing3m
ribbon_ema55_ema100,P1,3.000,2.000,522,29.885,20.690,66.667,8.040,0.015,1.002,389.480,5.167,100.000,0.000,m1,swing3m
ribbon_ema100,P1,3.000,2.000,522,29.885,20.690,66.667,8.040,0.015,1.002,389.480,5.167,100.000,0.000,m1,swing3m
ribbon_ema100,P1,2.000,2.000,576,35.069,30.208,61.111,-1.260,-0.002,1.000,422.040,5.701,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,P1,2.000,2.000,576,35.069,30.208,61.111,-1.260,-0.002,1.000,422.040,5.701,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,P1,4.000,3.000,484,25.826,13.430,69.628,-28.430,-0.059,0.993,465.940,4.788,100.000,0.000,m1,swing3m
ribbon_ema100,P1,4.000,3.000,484,25.826,13.430,69.628,-28.430,-0.059,0.993,465.940,4.788,100.000,0.000,m1,swing3m
ribbon_ema100,P1,5.000,3.000,463,24.406,9.287,70.626,-42.340,-0.091,0.989,505.200,4.580,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,P1,5.000,3.000,463,24.406,9.287,70.626,-42.340,-0.091,0.989,505.200,4.580,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,both,4.000,2.000,510,25.686,13.922,70.392,-58.280,-0.114,0.985,471.370,5.045,74.510,25.490,m1,swing3m
ribbon_ema100,both,4.000,2.000,510,25.686,13.922,70.392,-58.280,-0.114,0.985,471.370,5.045,74.510,25.490,m1,swing3m
ribbon_ema55,both,1.500,3.000,616,41.071,37.500,54.870,-67.630,-0.110,0.986,593.020,6.094,78.084,21.916,m1,swing3m
ribbon_only,both,1.500,3.000,620,40.645,37.097,54.677,-74.165,-0.120,0.984,586.555,6.133,80.484,19.516,m1,swing3m
ribbon_ema100,both,3.000,2.000,537,29.609,20.484,67.039,-82.400,-0.153,0.980,499.280,5.312,75.047,24.953,m1,swing3m
ribbon_ema55_ema100,both,3.000,2.000,537,29.609,20.484,67.039,-82.400,-0.153,0.980,499.280,5.312,75.047,24.953,m1,swing3m
ribbon_ema55_ema100,both,4.000,3.000,488,26.025,13.320,69.467,-90.040,-0.185,0.978,513.440,4.828,75.000,25.000,m1,swing3m
ribbon_ema100,both,4.000,3.000,488,26.025,13.320,69.467,-90.040,-0.185,0.978,513.440,4.828,75.000,25.000,m1,swing3m
ribbon_only,P1,1.500,3.000,598,40.803,37.124,54.181,-110.665,-0.185,0.975,601.675,5.916,100.000,0.000,m1,swing3m
ribbon_ema100,P1,2.000,3.000,558,34.229,28.136,61.828,-145.460,-0.261,0.967,507.630,5.520,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,P1,2.000,3.000,558,34.229,28.136,61.828,-145.460,-0.261,0.967,507.630,5.520,100.000,0.000,m1,swing3m
ribbon_ema55,P1,1.500,3.000,591,40.778,37.056,54.653,-182.160,-0.308,0.959,641.220,5.847,100.000,0.000,m1,swing3m
ribbon_ema100,both,1.500,3.000,613,39.641,36.215,56.607,-212.770,-0.347,0.955,616.905,6.064,77.651,22.349,m1,swing3m
ribbon_ema55_ema100,both,1.500,3.000,613,39.641,36.215,56.607,-212.770,-0.347,0.955,616.905,6.064,77.651,22.349,m1,swing3m
ribbon_ema55_ema100,both,1.500,2.000,652,40.184,37.423,56.442,-225.700,-0.346,0.952,568.610,6.450,77.454,22.546,m1,swing3m
ribbon_ema100,both,1.500,2.000,652,40.184,37.423,56.442,-225.700,-0.346,0.952,568.610,6.450,77.454,22.546,m1,swing3m
ribbon_ema100,both,3.000,3.000,505,29.307,18.614,66.337,-229.350,-0.454,0.946,606.940,4.996,76.040,23.960,m1,swing3m
ribbon_ema55_ema100,both,3.000,3.000,505,29.307,18.614,66.337,-229.350,-0.454,0.946,606.940,4.996,76.040,23.960,m1,swing3m
ribbon_only,both,1.500,2.000,667,40.480,37.331,55.322,-236.085,-0.354,0.950,572.960,6.598,79.760,20.240,m1,swing3m
ribbon_ema100,both,1.000,2.000,763,50.721,49.934,46.658,-250.660,-0.329,0.945,468.650,7.548,78.768,21.232,m1,swing3m
ribbon_ema55_ema100,both,1.000,2.000,763,50.721,49.934,46.658,-250.660,-0.329,0.945,468.650,7.548,78.768,21.232,m1,swing3m
ribbon_ema55_ema100,P1,3.000,3.000,506,28.854,18.577,66.601,-264.380,-0.522,0.936,610.080,5.006,100.000,0.000,m1,swing3m
ribbon_ema100,P1,3.000,3.000,506,28.854,18.577,66.601,-264.380,-0.522,0.936,610.080,5.006,100.000,0.000,m1,swing3m
ribbon_ema55,both,1.500,2.000,662,40.332,37.462,56.042,-264.830,-0.400,0.945,628.035,6.549,77.644,22.356,m1,swing3m
ribbon_only,both,1.000,3.000,722,49.584,48.061,46.953,-289.300,-0.401,0.940,585.400,7.143,80.609,19.391,m1,swing3m
ribbon_only,both,1.000,2.000,780,50.000,49.103,46.667,-289.930,-0.372,0.938,558.280,7.716,79.872,20.128,m1,swing3m
ribbon_only,P1,1.000,3.000,680,48.971,47.500,47.206,-294.540,-0.433,0.934,542.020,6.727,100.000,0.000,m1,swing3m
ribbon_ema55,both,1.000,3.000,721,49.792,48.544,47.157,-308.250,-0.428,0.936,612.670,7.133,78.779,21.221,m1,swing3m
ribbon_only,P1,1.500,2.000,629,39.905,36.884,55.803,-320.610,-0.510,0.928,608.775,6.226,100.000,0.000,m1,swing3m
ribbon_ema55,both,1.000,2.000,778,49.871,49.229,47.172,-323.090,-0.415,0.932,570.690,7.697,78.535,21.465,m1,swing3m
ribbon_ema100,P1,1.000,2.000,715,50.490,49.510,46.853,-329.990,-0.462,0.923,553.080,7.077,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,P1,1.000,2.000,715,50.490,49.510,46.853,-329.990,-0.462,0.923,553.080,7.077,100.000,0.000,m1,swing3m
ribbon_only,P1,1.000,2.000,727,49.656,48.693,46.905,-335.040,-0.461,0.923,585.340,7.196,100.000,0.000,m1,swing3m
ribbon_ema100,both,1.000,3.000,715,49.371,48.112,47.832,-387.890,-0.543,0.919,615.400,7.073,78.741,21.259,m1,swing3m
ribbon_ema55_ema100,both,1.000,3.000,715,49.371,48.112,47.832,-387.890,-0.543,0.919,615.400,7.073,78.741,21.259,m1,swing3m
ribbon_ema100,P1,1.500,3.000,595,39.328,35.798,56.807,-427.390,-0.718,0.906,762.905,5.886,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,P1,1.500,3.000,595,39.328,35.798,56.807,-427.390,-0.718,0.906,762.905,5.886,100.000,0.000,m1,swing3m
ribbon_ema100,P1,1.500,2.000,617,39.708,36.953,56.888,-433.730,-0.703,0.901,732.535,6.107,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,P1,1.500,2.000,617,39.708,36.953,56.888,-433.730,-0.703,0.901,732.535,6.107,100.000,0.000,m1,swing3m
ribbon_ema55,P1,1.500,2.000,619,39.257,36.349,56.866,-435.065,-0.703,0.903,724.045,6.127,100.000,0.000,m1,swing3m
ribbon_ema55,P1,1.000,3.000,674,48.665,47.329,47.923,-443.660,-0.658,0.901,665.320,6.668,100.000,0.000,m1,swing3m
ribbon_ema100,P1,1.000,3.000,683,48.463,47.145,48.755,-487.940,-0.714,0.892,727.890,6.757,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,P1,1.000,3.000,683,48.463,47.145,48.755,-487.940,-0.714,0.892,727.890,6.757,100.000,0.000,m1,swing3m
ribbon_ema55,P1,1.000,2.000,717,48.954,48.117,47.978,-492.490,-0.687,0.888,689.370,7.097,100.000,0.000,m1,swing3m
