Etc/UTC,Open,High,Low,Close,Volume
2026-05-29T00:00:00+00:00,4494.795,4495.145,4492.655,4494.205,58760
2026-05-29T00:01:00+00:00,4494.185,4497.895,4494.175,4495.885,49660
2026-05-29T00:02:00+00:00,4495.845,4496.175,4493.778,4493.778,30430
2026-05-29T00:03:00+00:00,4493.478,4496.085,4492.125,4492.568,64040
2026-05-29T00:04:00+00:00,4492.568,4495.355,4492.198,4494.635,54440
2026-05-29T00:05:00+00:00,4494.605,4496.205,4493.875,4495.335,50030
2026-05-29T00:06:00+00:00,4495.308,4495.605,4494.205,4495.115,37710
2026-05-29T00:07:00+00:00,4495.115,4495.325,4492.775,4495.045,39560
2026-05-29T00:08:00+00:00,4495.015,4495.015,4491.695,4492.765,48890
2026-05-29T00:09:00+00:00,4492.765,4494.775,4492.715,4494.305,35970
2026-05-29T00:10:00+00:00,4494.325,4494.598,4492.205,4493.858,47720
2026-05-29T00:11:00+00:00,4493.858,4496.495,4493.625,4495.908,52420
2026-05-29T00:12:00+00:00,4495.908,4497.815,4495.908,4497.248,46230
2026-05-29T00:13:00+00:00,4497.258,4497.858,4496.568,4496.958,40470
2026-05-29T00:14:00+00:00,4496.875,4497.638,4496.568,4496.978,39980
2026-05-29T00:15:00+00:00,4496.978,4497.645,4496.255,4496.935,48620
2026-05-29T00:16:00+00:00,4497.055,4499.025,4496.165,4498.708,51260
2026-05-29T00:17:00+00:00,4498.718,4498.808,4497.558,4497.685,38480
2026-05-29T00:18:00+00:00,4497.708,4498.758,4497.378,4498.758,31910
2026-05-29T00:19:00+00:00,4498.758,4499.785,4498.395,4498.895,41100
2026-05-29T00:20:00+00:00,4499.015,4500.255,4498.955,4499.645,37200
2026-05-29T00:21:00+00:00,4499.665,4499.725,4497.785,4498.125,26430
2026-05-29T00:22:00+00:00,4498.005,4498.305,4495.495,4495.745,25510
2026-05-29T00:23:00+00:00,4495.725,4496.485,4495.725,4496.195,13170
2026-05-29T00:24:00+00:00,4496.225,4497.395,4495.945,4497.395,14340
2026-05-29T00:25:00+00:00,4497.425,4498.655,4496.215,4498.375,22830
2026-05-29T00:26:00+00:00,4498.345,4500.375,4498.135,4499.195,28420
2026-05-29T00:27:00+00:00,4499.165,4499.335,4497.575,4497.768,23110
2026-05-29T00:28:00+00:00,4497.768,4499.595,4497.768,4499.525,28000
2026-05-29T00:29:00+00:00,4499.485,4500.105,4498.885,4499.895,15960
2026-05-29T00:30:00+00:00,4499.665,4500.065,4497.905,4498.915,25700
2026-05-29T00:31:00+00:00,4498.895,4499.065,4497.355,4498.075,24440
2026-05-29T00:32:00+00:00,4498.035,4498.465,4496.935,4497.945,23400
2026-05-29T00:33:00+00:00,4497.995,4500.255,4497.895,4499.618,17980
2026-05-29T00:34:00+00:00,4499.605,4499.605,4495.035,4495.035,24630
2026-05-29T00:35:00+00:00,4495.025,4496.255,4495.025,4495.955,19020
2026-05-29T00:36:00+00:00,4496.005,4496.055,4493.795,4494.565,19830
2026-05-29T00:37:00+00:00,4494.615,4495.095,4494.245,4494.895,18240
2026-05-29T00:38:00+00:00,4494.935,4495.295,4493.725,4493.805,18040
2026-05-29T00:39:00+00:00,4493.835,4494.245,4493.095,4493.945,20460
2026-05-29T00:40:00+00:00,4493.855,4495.725,4493.805,4495.615,19170
2026-05-29T00:41:00+00:00,4495.715,4496.215,4495.365,4495.785,16680
2026-05-29T00:42:00+00:00,4495.838,4496.655,4495.405,4496.245,15420
2026-05-29T00:43:00+00:00,4496.265,4497.005,4495.415,4496.315,23560
2026-05-29T00:44:00+00:00,4496.275,4498.345,4496.275,4498.085,24560
2026-05-29T00:45:00+00:00,4497.775,4498.185,4495.295,4495.545,16890
2026-05-29T00:46:00+00:00,4495.515,4495.645,4494.625,4494.825,14190
2026-05-29T00:47:00+00:00,4494.805,4495.325,4492.985,4493.595,20820
2026-05-29T00:48:00+00:00,4493.615,4494.135,4493.405,4494.095,14290
2026-05-29T00:49:00+00:00,4494.075,4495.165,4494.075,4494.865,18180
2026-05-29T00:50:00+00:00,4494.845,4496.585,4494.845,4496.115,17790
2026-05-29T00:51:00+00:00,4496.135,4496.405,4493.585,4494.595,19860
2026-05-29T00:52:00+00:00,4494.565,4495.495,4494.565,4495.055,16200
2026-05-29T00:53:00+00:00,4495.085,4495.215,4493.365,4493.625,19210
2026-05-29T00:54:00+00:00,4493.605,4495.145,4493.465,4494.005,25870
2026-05-29T00:55:00+00:00,4494.045,4494.255,4493.275,4493.745,21720
2026-05-29T00:56:00+00:00,4493.725,4494.715,4493.725,4494.565,16360
2026-05-29T00:57:00+00:00,4494.585,4494.835,4494.175,4494.255,14640
2026-05-29T00:58:00+00:00,4494.215,4494.485,4493.675,4494.145,16100
2026-05-29T00:59:00+00:00,4494.075,4495.935,4493.088,4495.935,28950
2026-05-29T01:00:00+00:00,4495.905,4501.405,4495.528,4499.785,71970
2026-05-29T01:01:00+00:00,4499.875,4503.335,4496.885,4497.815,62980
2026-05-29T01:02:00+00:00,4497.955,4498.525,4495.908,4497.055,47040
2026-05-29T01:03:00+00:00,4497.065,4497.455,4491.995,4497.365,56310
2026-05-29T01:04:00+00:00,4497.348,4501.475,4497.348,4500.585,50430
2026-05-29T01:05:00+00:00,4500.615,4501.615,4499.575,4499.975,40670
2026-05-29T01:06:00+00:00,4500.215,4502.015,4498.525,4499.995,41950
2026-05-29T01:07:00+00:00,4499.975,4501.995,4499.625,4501.095,41890
2026-05-29T01:08:00+00:00,4501.135,4504.755,4500.505,4504.675,47710
2026-05-29T01:09:00+00:00,4504.705,4509.005,4504.275,4508.585,60330
2026-05-29T01:10:00+00:00,4508.565,4510.845,4507.775,4509.735,59550
2026-05-29T01:11:00+00:00,4509.705,4510.605,4509.125,4510.165,41580
2026-05-29T01:12:00+00:00,4510.185,4510.915,4508.855,4510.015,37380
2026-05-29T01:13:00+00:00,4510.045,4513.015,4510.045,4512.675,45060
2026-05-29T01:14:00+00:00,4512.645,4514.995,4512.095,4514.705,44820
2026-05-29T01:15:00+00:00,4514.675,4517.265,4514.195,4514.915,59880
2026-05-29T01:16:00+00:00,4514.795,4517.495,4514.795,4516.795,52410
2026-05-29T01:17:00+00:00,4516.765,4517.015,4515.198,4516.145,40350
2026-05-29T01:18:00+00:00,4516.165,4520.445,4514.855,4518.805,48800
2026-05-29T01:19:00+00:00,4518.755,4519.415,4517.695,4518.395,36090
2026-05-29T01:20:00+00:00,4518.505,4519.475,4517.395,4518.775,39360
2026-05-29T01:21:00+00:00,4518.795,4520.075,4516.805,4517.118,42290
2026-05-29T01:22:00+00:00,4517.098,4518.045,4516.435,4516.515,36990
2026-05-29T01:23:00+00:00,4516.495,4517.285,4515.545,4515.715,39720
2026-05-29T01:24:00+00:00,4515.715,4515.985,4512.495,4512.505,40870
2026-05-29T01:25:00+00:00,4512.475,4513.165,4510.055,4510.615,41960
2026-05-29T01:26:00+00:00,4510.645,4511.335,4508.965,4509.518,47200
2026-05-29T01:27:00+00:00,4509.538,4510.155,4507.585,4507.985,41220
2026-05-29T01:28:00+00:00,4508.035,4508.255,4506.425,4506.935,32100
2026-05-29T01:29:00+00:00,4506.845,4507.625,4504.995,4505.175,32700
2026-05-29T01:30:00+00:00,4505.195,4505.215,4502.225,4504.035,50910
2026-05-29T01:31:00+00:00,4504.065,4504.475,4502.565,4503.555,35280
2026-05-29T01:32:00+00:00,4503.645,4505.515,4502.825,4503.645,34710
2026-05-29T01:33:00+00:00,4503.755,4504.895,4503.295,4504.225,33540
2026-05-29T01:34:00+00:00,4504.145,4505.195,4503.315,4503.935,31950
2026-05-29T01:35:00+00:00,4503.905,4504.635,4503.055,4503.115,33540
2026-05-29T01:36:00+00:00,4503.068,4506.675,4503.068,4506.535,38540
2026-05-29T01:37:00+00:00,4506.565,4507.875,4506.155,4507.655,30150
2026-05-29T01:38:00+00:00,4507.705,4508.165,4505.535,4505.605,31140
2026-05-29T01:39:00+00:00,4505.655,4506.935,4502.915,4506.805,31260
2026-05-29T01:40:00+00:00,4506.715,4508.335,4506.495,4507.235,31980
2026-05-29T01:41:00+00:00,4507.105,4507.465,4506.315,4506.635,32910
2026-05-29T01:42:00+00:00,4506.545,4508.155,4505.155,4507.635,33930
2026-05-29T01:43:00+00:00,4507.585,4508.345,4506.325,4507.055,32310
2026-05-29T01:44:00+00:00,4507.115,4507.825,4505.615,4506.195,35610
2026-05-29T01:45:00+00:00,4506.165,4506.195,4503.648,4504.795,35250
2026-05-29T01:46:00+00:00,4504.775,4506.625,4503.825,4505.695,35390
2026-05-29T01:47:00+00:00,4505.325,4505.975,4501.798,4502.305,41360
2026-05-29T01:48:00+00:00,4502.325,4503.185,4501.638,4501.665,30420
2026-05-29T01:49:00+00:00,4501.725,4502.505,4501.385,4501.738,37200
2026-05-29T01:50:00+00:00,4501.355,4502.175,4500.865,4501.575,36150
2026-05-29T01:51:00+00:00,4501.605,4504.505,4501.565,4504.425,33540
2026-05-29T01:52:00+00:00,4504.465,4504.515,4502.555,4502.985,30420
2026-05-29T01:53:00+00:00,4502.955,4504.585,4502.355,4504.565,25660
2026-05-29T01:54:00+00:00,4504.475,4506.395,4503.915,4505.875,32100
2026-05-29T01:55:00+00:00,4505.835,4507.275,4505.745,4506.805,31890
2026-05-29T01:56:00+00:00,4506.845,4507.025,4503.575,4504.825,27900
2026-05-29T01:57:00+00:00,4504.825,4506.835,4504.825,4505.745,26640
2026-05-29T01:58:00+00:00,4505.835,4506.305,4505.475,4505.495,26100
2026-05-29T01:59:00+00:00,4506.498,4507.585,4505.158,4506.355,33450
2026-05-29T02:00:00+00:00,4506.385,4508.165,4505.835,4507.925,46490
2026-05-29T02:01:00+00:00,4507.985,4509.935,4507.205,4509.075,48020
2026-05-29T02:02:00+00:00,4509.065,4509.325,4508.245,4508.675,32820
2026-05-29T02:03:00+00:00,4508.675,4510.405,4507.855,4510.045,39930
2026-05-29T02:04:00+00:00,4510.045,4510.835,4508.968,4510.585,35340
2026-05-29T02:05:00+00:00,4510.655,4511.015,4507.895,4509.325,38760
2026-05-29T02:06:00+00:00,4509.345,4509.905,4508.015,4508.105,28530
2026-05-29T02:07:00+00:00,4508.055,4508.155,4505.648,4505.668,29820
2026-05-29T02:08:00+00:00,4505.655,4506.535,4504.955,4506.325,23250
2026-05-29T02:09:00+00:00,4506.235,4506.555,4505.538,4505.605,19650
2026-05-29T02:10:00+00:00,4505.655,4506.175,4504.185,4504.225,26010
2026-05-29T02:11:00+00:00,4504.285,4505.485,4503.905,4505.235,22980
2026-05-29T02:12:00+00:00,4505.155,4507.765,4505.155,4507.015,23850
2026-05-29T02:13:00+00:00,4507.055,4507.105,4504.575,4505.335,25620
2026-05-29T02:14:00+00:00,4505.365,4507.035,4505.125,4506.655,23640
2026-05-29T02:15:00+00:00,4506.725,4508.705,4506.425,4507.145,21240
2026-05-29T02:16:00+00:00,4507.095,4507.635,4504.935,4505.248,23580
2026-05-29T02:17:00+00:00,4505.295,4506.895,4505.045,4505.738,18720
2026-05-29T02:18:00+00:00,4505.755,4507.238,4505.245,4505.555,20400
2026-05-29T02:19:00+00:00,4505.535,4506.125,4505.415,4505.635,12000
2026-05-29T02:20:00+00:00,4505.615,4505.785,4502.645,4503.158,21480
2026-05-29T02:21:00+00:00,4503.158,4504.135,4502.835,4503.875,15540
2026-05-29T02:22:00+00:00,4503.805,4505.555,4502.998,4504.965,20830
2026-05-29T02:23:00+00:00,4504.965,4505.205,4503.145,4503.185,13100
2026-05-29T02:24:00+00:00,4503.245,4504.365,4503.235,4504.345,15090
