ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode,sl_method
ribbon_ema100,P1,5.000,3.000,232,30.603,12.931,68.534,789.010,3.401,1.365,294.110,2.314,100.000,0.000,m30_15,swing3m
ribbon_ema55_ema100,P1,5.000,3.000,232,30.603,12.931,68.534,789.010,3.401,1.365,294.110,2.314,100.000,0.000,m30_15,swing3m
ribbon_ema55,P1,5.000,3.000,242,28.099,11.983,70.661,714.270,2.952,1.315,308.560,2.414,100.000,0.000,m30_15,swing3m
ribbon_only,P1,5.000,3.000,247,27.935,11.741,69.636,655.540,2.654,1.282,301.170,2.464,100.000,0.000,m30_15,swing3m
ribbon_ema55_ema100,P1,4.000,3.000,233,31.760,14.163,66.953,627.890,2.695,1.299,305.010,2.324,100.000,0.000,m30_15,swing3m
ribbon_ema100,P1,4.000,3.000,233,31.760,14.163,66.953,627.890,2.695,1.299,305.010,2.324,100.000,0.000,m30_15,swing3m
ribbon_ema100,P1,1.500,2.000,277,44.765,41.155,54.513,627.810,2.266,1.293,273.195,2.763,100.000,0.000,m30_15,swing3m
ribbon_ema55_ema100,P1,1.500,2.000,277,44.765,41.155,54.513,627.810,2.266,1.293,273.195,2.763,100.000,0.000,m30_15,swing3m
ribbon_ema55_ema100,both,5.000,3.000,262,29.771,12.595,68.702,612.390,2.337,1.227,414.080,2.613,67.939,32.061,m30_15,swing3m
ribbon_ema100,both,5.000,3.000,262,29.771,12.595,68.702,612.390,2.337,1.227,414.080,2.613,67.939,32.061,m30_15,swing3m
ribbon_ema100,both,1.500,2.000,317,43.849,41.009,55.205,556.815,1.757,1.210,311.360,3.162,70.978,29.022,m30_15,swing3m
ribbon_ema55_ema100,both,1.500,2.000,317,43.849,41.009,55.205,556.815,1.757,1.210,311.360,3.162,70.978,29.022,m30_15,swing3m
ribbon_ema100,P1,5.000,2.000,234,29.487,11.111,69.658,531.970,2.273,1.257,296.470,2.334,100.000,0.000,m30_15,swing3m
ribbon_ema55_ema100,P1,5.000,2.000,234,29.487,11.111,69.658,531.970,2.273,1.257,296.470,2.334,100.000,0.000,m30_15,swing3m
