ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode,sl_method
ribbon_ema55_ema100,P2,5.000,3.000,3117,30.991,7.154,61.437,1250.334,0.401,1.100,460.430,2.020,0.000,100.000,m30_15,swing15m
ribbon_ema100,P2,5.000,3.000,3117,30.991,7.154,61.437,1248.927,0.401,1.099,460.669,2.020,0.000,100.000,m30_15,swing15m
ribbon_ema55_ema100,P2,5.000,2.000,3256,28.686,8.814,65.387,1200.382,0.369,1.098,474.448,2.110,0.000,100.000,m30_15,swing15m
ribbon_ema100,P2,5.000,2.000,3255,28.664,8.786,65.407,1180.275,0.363,1.097,474.687,2.109,0.000,100.000,m30_15,swing15m
ribbon_ema55_ema100,P2,4.000,2.000,3302,30.012,12.508,63.931,1150.553,0.348,1.093,560.417,2.140,0.000,100.000,m30_15,swing15m
ribbon_ema100,P2,4.000,2.000,3301,29.991,12.481,63.950,1134.246,0.344,1.092,562.863,2.139,0.000,100.000,m30_15,swing15m
ribbon_ema55_ema100,P2,4.000,3.000,3146,31.723,9.631,60.680,1082.536,0.344,1.085,540.880,2.039,0.000,100.000,m30_15,swing15m
ribbon_ema100,P2,4.000,3.000,3146,31.723,9.631,60.680,1081.130,0.344,1.084,540.880,2.039,0.000,100.000,m30_15,swing15m
ribbon_ema55_ema100,P2,3.000,3.000,3212,33.686,15.193,58.406,918.377,0.286,1.071,569.127,2.081,0.000,100.000,m30_15,swing15m
ribbon_ema100,P2,3.000,3.000,3212,33.686,15.193,58.406,916.971,0.285,1.071,569.127,2.081,0.000,100.000,m30_15,swing15m
ribbon_ema55,P2,4.000,2.000,3200,29.812,10.938,63.281,915.064,0.286,1.071,677.399,2.074,0.000,100.000,m30_15,swing15m
ribbon_ema55,P2,5.000,2.000,3154,28.821,7.324,64.268,815.012,0.258,1.064,607.724,2.044,0.000,100.000,m30_15,swing15m
ribbon_ema55,P2,5.000,3.000,2986,31.380,5.760,59.545,771.230,0.258,1.059,615.188,1.935,0.000,100.000,m30_15,swing15m
ribbon_ema55,P2,4.000,3.000,3011,31.783,8.070,59.083,760.452,0.253,1.058,630.841,1.951,0.000,100.000,m30_15,swing15m
ribbon_ema55_ema100,P2,3.000,2.000,3369,32.146,17.839,61.710,750.280,0.223,1.060,635.239,2.183,0.000,100.000,m30_15,swing15m
ribbon_ema100,P2,3.000,2.000,3368,32.126,17.815,61.728,737.773,0.219,1.059,646.578,2.182,0.000,100.000,m30_15,swing15m
ribbon_only,P2,4.000,2.000,3126,29.974,10.077,62.700,671.507,0.215,1.052,732.354,2.026,0.000,100.000,m30_15,swing15m
ribbon_ema55,P2,3.000,2.000,3269,31.783,16.213,61.303,654.827,0.200,1.050,737.683,2.118,0.000,100.000,m30_15,swing15m
ribbon_ema55,P2,3.000,3.000,3081,33.333,13.470,57.579,636.963,0.207,1.047,689.064,1.996,0.000,100.000,m30_15,swing15m
ribbon_only,P2,4.000,3.000,2936,32.153,7.493,58.038,621.660,0.212,1.047,623.305,1.903,0.000,100.000,m30_15,swing15m
ribbon_only,P2,5.000,2.000,3078,29.012,6.563,63.580,579.128,0.188,1.045,671.995,1.995,0.000,100.000,m30_15,swing15m
ribbon_only,P2,5.000,3.000,2916,31.756,5.075,58.471,558.514,0.192,1.043,660.713,1.890,0.000,100.000,m30_15,swing15m
ribbon_only,P2,3.000,2.000,3197,31.811,15.483,60.932,516.930,0.162,1.039,834.010,2.072,0.000,100.000,m30_15,swing15m
ribbon_only,P2,3.000,3.000,2999,33.478,12.738,56.786,448.492,0.150,1.033,741.064,1.943,0.000,100.000,m30_15,swing15m
ribbon_ema55,P2,2.000,3.000,3232,37.067,23.391,54.455,170.878,0.053,1.012,781.679,2.094,0.000,100.000,m30_15,swing15m
ribbon_ema55_ema100,P2,2.000,3.000,3362,37.388,24.955,54.938,166.955,0.050,1.013,702.937,2.179,0.000,100.000,m30_15,swing15m
ribbon_ema100,P2,2.000,3.000,3362,37.388,24.955,54.938,165.548,0.049,1.013,703.176,2.179,0.000,100.000,m30_15,swing15m
ribbon_only,P2,2.000,3.000,3158,37.207,22.831,53.927,66.933,0.021,1.005,826.355,2.046,0.000,100.000,m30_15,swing15m
ribbon_ema55,P2,2.000,2.000,3445,36.168,26.067,57.446,-39.972,-0.012,0.997,851.670,2.232,0.000,100.000,m30_15,swing15m
ribbon_ema55_ema100,P2,2.000,2.000,3546,36.633,27.298,57.558,-49.302,-0.014,0.996,813.630,2.298,0.000,100.000,m30_15,swing15m
ribbon_ema100,P2,2.000,2.000,3545,36.615,27.278,57.574,-58.009,-0.016,0.995,821.170,2.297,0.000,100.000,m30_15,swing15m
ribbon_ema100,P1,5.000,3.000,4489,30.541,6.794,60.904,-60.771,-0.014,0.997,737.364,2.909,100.000,0.000,m30_15,swing15m
ribbon_ema55_ema100,P1,5.000,3.000,4489,30.541,6.794,60.904,-61.059,-0.014,0.997,735.490,2.909,100.000,0.000,m30_15,swing15m
ribbon_only,P1,5.000,3.000,4307,32.877,5.781,57.070,-65.580,-0.015,0.997,652.320,2.791,100.000,0.000,m30_15,swing15m
ribbon_only,P2,2.000,2.000,3379,36.105,25.570,57.295,-146.614,-0.043,0.989,837.542,2.190,0.000,100.000,m30_15,swing15m
ribbon_ema100,both,5.000,3.000,5060,29.427,7.549,63.281,-177.777,-0.035,0.992,690.385,3.279,71.344,28.656,m30_15,swing15m
ribbon_ema55_ema100,both,5.000,3.000,5060,29.427,7.549,63.281,-178.064,-0.035,0.992,688.512,3.279,71.344,28.656,m30_15,swing15m
ribbon_only,P1,5.000,2.000,4707,30.062,6.968,62.375,-360.318,-0.077,0.983,844.957,3.050,100.000,0.000,m30_15,swing15m
ribbon_ema55,P2,1.500,2.000,3616,40.736,33.656,53.429,-375.255,-0.104,0.972,701.194,2.343,0.000,100.000,m30_15,swing15m
