ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode
ribbon_ema55_ema100,P1,3.000,3.000,1483,25.624,22.859,73.567,-655.716,-0.442,0.913,956.126,14.668,100.000,0.000,m1
ribbon_ema100,P1,3.000,3.000,1482,25.574,22.807,73.617,-663.210,-0.448,0.912,972.411,14.658,100.000,0.000,m1
ribbon_only,P1,2.000,3.000,1752,32.820,31.564,66.438,-663.236,-0.379,0.922,929.175,17.328,100.000,0.000,m1
ribbon_only,P1,2.000,2.000,1999,33.467,32.716,66.133,-668.428,-0.334,0.920,933.600,19.771,100.000,0.000,m1
ribbon_only,P1,4.000,2.000,1537,21.601,18.282,78.009,-671.560,-0.437,0.910,868.025,15.202,100.000,0.000,m1
ribbon_ema55,P1,4.000,2.000,1521,21.828,18.475,77.712,-672.717,-0.442,0.908,913.127,15.043,100.000,0.000,m1
ribbon_ema100,both,1.500,2.000,2422,39.802,39.513,59.744,-761.870,-0.315,0.917,1017.655,23.955,74.855,25.145,m1
ribbon_ema55,both,1.500,2.000,2443,40.033,39.746,59.558,-769.410,-0.315,0.919,997.797,24.163,75.440,24.560,m1
ribbon_only,P1,3.000,3.000,1488,25.134,22.177,74.126,-779.972,-0.524,0.902,937.390,14.717,100.000,0.000,m1
ribbon_ema55_ema100,both,1.500,2.000,2419,39.768,39.479,59.777,-782.108,-0.323,0.915,1037.893,23.926,74.866,25.134,m1
ribbon_ema55_ema100,both,5.000,3.000,1308,19.725,12.920,79.434,-783.091,-0.599,0.893,1181.638,12.937,72.706,27.294,m1
ribbon_ema55_ema100,P1,4.000,2.000,1529,21.583,18.574,78.090,-790.310,-0.517,0.888,1082.820,15.123,100.000,0.000,m1
ribbon_ema100,P1,1.500,3.000,2030,39.951,39.409,59.507,-796.085,-0.392,0.906,1114.573,20.078,100.000,0.000,m1
