entry_time,exit_time,direction,pattern,entry,sl,tp,exit_price,pnl_points,bars_held,outcome
2026-02-17 02:20:00,2026-02-17 06:20:00,-1,P2,4977.42,4996.88,4919.04,4954.66,22.460000000000218,240,EOD
2026-02-17 08:24:00,2026-02-17 08:33:00,-1,P2,4895.71,4904.46,4869.46,4904.46,-9.05,9,SL
2026-02-17 13:46:00,2026-02-17 14:00:00,-1,P2,4926.88,4933.11,4908.190000000001,4933.11,-6.529999999999563,14,SL
2026-02-17 14:28:00,2026-02-17 15:07:00,-1,P2,4941.18,4947.34,4922.700000000001,4922.700000000001,18.179999999999563,39,TP
2026-02-17 15:15:00,2026-02-17 19:15:00,-1,P2,4915.07,4940.69,4838.21,4855.74,59.02999999999993,240,EOD
2026-02-17 22:31:00,2026-02-17 22:42:00,-1,P2,4875.4,4882.46,4854.219999999998,4882.46,-7.3600000000004,11,SL
2026-02-18 02:14:00,2026-02-18 02:32:00,-1,P2,4864.07,4872.53,4838.69,4872.53,-8.760000000000037,18,SL
2026-02-18 02:57:00,2026-02-18 03:02:00,-1,P2,4877.2,4886.08,4850.5599999999995,4886.08,-9.18000000000011,5,SL
2026-02-18 05:30:00,2026-02-18 09:30:00,1,P2,4919.42,4908.53,4952.090000000001,4937.34,17.620000000000072,240,EOD
2026-02-18 13:21:00,2026-02-18 14:06:00,-1,P2,4915.61,4920.56,4900.7599999999975,4920.56,-5.250000000000727,45,SL
2026-02-18 14:33:00,2026-02-18 14:59:00,1,P2,4921.8,4914.84,4942.68,4942.68,20.58000000000011,26,TP
2026-02-18 15:07:00,2026-02-18 17:03:00,1,P2,4956.1,4941.1,5001.1,5001.1,44.7,116,TP
2026-02-18 22:32:00,2026-02-19 01:01:00,1,P2,4980.87,4973.65,5002.530000000001,4973.65,-7.5200000000002545,87,SL
2026-02-19 02:07:00,2026-02-19 06:07:00,1,P2,4964.86,4958.39,4984.269999999998,4981.31,16.150000000000727,240,EOD
2026-02-19 08:19:00,2026-02-19 08:51:00,1,P2,4999.77,4993.64,5018.160000000001,5018.160000000001,18.090000000000327,32,TP
2026-02-19 13:07:00,2026-02-19 13:16:00,1,P2,4992.84,4986.28,5012.520000000001,4986.28,-6.8600000000004,9,SL
2026-02-19 14:04:00,2026-02-19 15:02:00,1,P2,4986.52,4977.52,5013.52,4977.52,-9.3,58,SL
2026-02-19 15:23:00,2026-02-19 15:30:00,1,P2,4986.11,4977.79,5011.069999999999,4977.79,-8.61999999999971,7,SL
2026-02-19 15:50:00,2026-02-19 16:34:00,1,P2,4995.29,4969.17,5073.65,4969.17,-26.41999999999989,44,SL
2026-02-19 16:52:00,2026-02-19 20:52:00,1,P2,4999.35,4960.86,5114.820000000002,4983.65,-16.00000000000073,240,EOD
2026-02-19 22:04:00,2026-02-19 22:20:00,-1,P2,4988.26,4995.04,4967.920000000001,4995.04,-7.079999999999745,16,SL
2026-02-19 22:58:00,2026-02-19 23:21:00,1,P2,5002.03,4996.63,5018.229999999999,4996.63,-5.699999999999636,23,SL
2026-02-20 02:02:00,2026-02-20 02:03:00,1,P2,4993.6,4993.25,4994.6500000000015,4993.25,-0.6500000000003638,1,SL
2026-02-20 02:20:00,2026-02-20 02:52:00,-1,P2,4992.5,4999.22,4972.339999999999,4999.22,-7.0200000000002545,32,SL
2026-02-20 05:16:00,2026-02-20 05:41:00,1,P2,4996.45,4986.89,5025.129999999998,4986.89,-9.859999999999491,25,SL
2026-02-20 05:51:00,2026-02-20 06:40:00,-1,P2,4993.5,4998.87,4977.39,4998.87,-5.669999999999891,49,SL
2026-02-20 08:10:00,2026-02-20 09:56:00,1,P2,5017.19,5009.04,5041.6399999999985,5009.04,-8.449999999999637,106,SL
2026-02-20 13:07:00,2026-02-20 13:16:00,1,P2,5033.1,5029.45,5044.050000000002,5029.45,-3.9500000000005455,9,SL
2026-02-20 13:44:00,2026-02-20 13:47:00,1,P2,5027.63,5019.6,5051.719999999999,5019.6,-8.329999999999746,3,SL
2026-02-20 14:03:00,2026-02-20 14:30:00,1,P2,5021.62,5010.71,5054.349999999999,5010.71,-11.209999999999855,27,SL
2026-02-20 14:32:00,2026-02-20 15:49:00,1,P2,5020.74,5013.93,5041.169999999998,5041.169999999998,20.12999999999847,77,TP
2026-02-20 15:56:00,2026-02-20 17:03:00,1,P2,5048.13,5022.95,5123.670000000001,5022.95,-25.48000000000029,67,SL
2026-02-20 22:08:00,2026-02-20 23:56:00,1,P2,5078.79,5069.24,5107.4400000000005,5107.4400000000005,28.350000000000545,108,TP
2026-02-23 02:18:00,2026-02-23 02:19:00,1,P2,5139.16,5136.53,5147.05,5136.53,-2.930000000000109,1,SL
2026-02-23 05:45:00,2026-02-23 06:03:00,1,P2,5168.9,5163.87,5183.989999999999,5163.87,-5.329999999999745,18,SL
2026-02-23 08:03:00,2026-02-23 08:29:00,1,P2,5158.78,5152.98,5176.18,5152.98,-6.100000000000182,26,SL
2026-02-23 08:36:00,2026-02-23 08:41:00,1,P2,5155.73,5149.0,5175.919999999998,5149.0,-7.029999999999563,5,SL
2026-02-23 08:42:00,2026-02-23 09:00:00,1,P2,5153.8,5144.2,5182.600000000001,5144.2,-9.900000000000365,18,SL
2026-02-23 13:25:00,2026-02-23 16:00:00,1,P2,5150.59,5143.59,5171.59,5143.59,-7.3,155,SL
2026-02-23 16:12:00,2026-02-23 16:36:00,1,P2,5152.97,5145.85,5174.33,5174.33,21.059999999999672,24,TP
2026-02-23 22:09:00,2026-02-24 01:04:00,1,P2,5222.97,5215.86,5244.300000000002,5244.300000000002,21.030000000001746,113,TP
2026-02-24 02:16:00,2026-02-24 02:55:00,1,P2,5232.79,5221.79,5265.79,5221.79,-11.3,39,SL
2026-02-24 05:12:00,2026-02-24 06:01:00,-1,P2,5186.65,5194.81,5162.169999999997,5162.169999999997,24.18000000000229,49,TP
2026-02-24 08:16:00,2026-02-24 08:35:00,-1,P2,5181.76,5187.86,5163.460000000002,5163.460000000002,17.999999999998362,19,TP
2026-02-24 08:51:00,2026-02-24 09:18:00,-1,P2,5170.51,5177.15,5150.590000000002,5177.15,-6.939999999999418,27,SL
2026-02-24 13:06:00,2026-02-24 14:18:00,-1,P2,5173.91,5179.53,5157.05,5157.05,16.559999999999672,72,TP
2026-02-24 14:32:00,2026-02-24 16:00:00,-1,P2,5159.23,5175.78,5109.579999999999,5109.579999999999,49.35000000000055,88,TP
2026-02-24 16:10:00,2026-02-24 16:38:00,-1,P2,5119.4,5130.52,5086.039999999997,5130.52,-11.420000000000801,28,SL
2026-02-24 16:59:00,2026-02-24 17:21:00,-1,P2,5125.86,5141.87,5077.829999999999,5141.87,-16.31000000000022,22,SL
2026-02-24 22:01:00,2026-02-24 22:06:00,1,P2,5155.26,5148.99,5174.0700000000015,5148.99,-6.570000000000436,5,SL
2026-02-25 02:43:00,2026-02-25 02:58:00,-1,P2,5150.99,5154.16,5141.48,5154.16,-3.4700000000000726,15,SL
2026-02-25 05:26:00,2026-02-25 05:54:00,1,P2,5183.52,5178.79,5197.710000000002,5178.79,-5.030000000000473,28,SL
2026-02-25 08:31:00,2026-02-25 11:03:00,1,P2,5192.44,5179.36,5231.679999999999,5179.36,-13.379999999999928,152,SL
2026-02-25 13:52:00,2026-02-25 13:55:00,-1,P2,5172.67,5175.51,5164.15,5175.51,-3.1400000000001453,3,SL
2026-02-25 14:03:00,2026-02-25 14:21:00,-1,P2,5178.61,5185.75,5157.189999999999,5185.75,-7.440000000000327,18,SL
2026-02-25 14:29:00,2026-02-25 14:42:00,-1,P2,5183.76,5185.93,5177.25,5185.93,-2.4700000000000726,13,SL
2026-02-25 14:59:00,2026-02-25 16:28:00,1,P2,5182.65,5175.82,5203.139999999999,5175.82,-7.129999999999927,89,SL
2026-02-25 22:55:00,2026-02-25 22:58:00,-1,P2,5175.39,5183.48,5151.120000000003,5151.120000000003,23.969999999997707,3,TP
2026-02-26 02:34:00,2026-02-26 03:00:00,-1,P2,5181.85,5192.38,5150.260000000001,5192.38,-10.829999999999746,26,SL
2026-02-26 05:06:00,2026-02-26 05:15:00,-1,P2,5185.5,5190.67,5169.99,5190.67,-5.470000000000073,9,SL
2026-02-26 05:41:00,2026-02-26 05:47:00,1,P2,5188.43,5184.82,5199.260000000002,5184.82,-3.910000000000582,6,SL
2026-02-26 05:49:00,2026-02-26 09:49:00,1,P2,5188.6,5181.23,5210.710000000003,5182.44,-6.460000000000764,240,EOD
2026-02-26 13:23:00,2026-02-26 14:28:00,-1,P2,5172.22,5178.99,5151.910000000002,5178.99,-7.069999999999527,65,SL
2026-02-26 14:38:00,2026-02-26 14:44:00,-1,P2,5180.17,5187.26,5158.9,5187.26,-7.390000000000145,6,SL
2026-02-26 14:46:00,2026-02-26 15:30:00,-1,P2,5184.98,5190.83,5167.4299999999985,5167.4299999999985,17.25000000000109,44,TP
2026-02-26 15:40:00,2026-02-26 17:46:00,-1,P2,5167.84,5181.82,5125.9000000000015,5181.82,-14.279999999999564,126,SL
2026-02-26 22:01:00,2026-02-26 23:53:00,1,P2,5190.12,5183.52,5209.919999999998,5183.52,-6.899999999999454,112,SL
2026-02-27 02:01:00,2026-02-27 02:04:00,1,P2,5182.57,5179.19,5192.71,5179.19,-3.680000000000109,3,SL
2026-02-27 02:49:00,2026-02-27 03:33:00,-1,P2,5173.88,5180.66,5153.540000000001,5180.66,-7.079999999999745,44,SL
2026-02-27 05:03:00,2026-02-27 05:26:00,-1,P2,5182.67,5187.98,5166.740000000002,5187.98,-5.6099999999994905,23,SL
2026-02-27 08:10:00,2026-02-27 08:51:00,1,P2,5195.98,5190.04,5213.799999999998,5190.04,-6.2399999999996,41,SL
2026-02-27 13:12:00,2026-02-27 13:48:00,-1,P2,5175.5,5181.33,5158.01,5181.33,-6.129999999999927,36,SL
2026-02-27 14:42:00,2026-02-27 15:07:00,1,P2,5186.19,5180.85,5202.209999999997,5202.209999999997,15.719999999997707,25,TP
2026-02-27 15:15:00,2026-02-27 19:15:00,1,P2,5219.03,5180.03,5336.03,5230.74,11.410000000000036,240,EOD
2026-02-27 22:11:00,2026-02-27 23:40:00,1,P2,5251.93,5245.59,5270.950000000001,5270.950000000001,18.720000000000436,89,TP
2026-03-02 02:33:00,2026-03-02 02:53:00,1,P2,5368.15,5350.18,5422.059999999998,5350.18,-18.269999999999346,20,SL
2026-03-02 05:12:00,2026-03-02 07:16:00,1,P2,5356.2,5341.46,5400.419999999999,5341.46,-15.039999999999782,124,SL
2026-03-02 08:05:00,2026-03-02 09:12:00,1,P2,5369.7,5358.65,5402.85,5402.85,32.85000000000055,67,TP
2026-03-02 13:25:00,2026-03-02 13:45:00,1,P2,5392.6,5379.41,5432.170000000002,5379.41,-13.49000000000051,20,SL
2026-03-02 13:59:00,2026-03-02 16:09:00,1,P2,5385.63,5375.31,5416.589999999999,5375.31,-10.61999999999971,130,SL
2026-03-02 22:28:00,2026-03-03 02:14:00,-1,P2,5333.68,5349.34,5286.700000000001,5349.34,-15.959999999999855,164,SL
2026-03-03 02:23:00,2026-03-03 04:00:00,1,P2,5355.87,5333.98,5421.540000000001,5333.98,-22.190000000000328,97,SL
