entry_time,exit_time,direction,pattern,entry,sl,tp,exit_price,pnl_points,bars_held,outcome
2026-02-17 22:00:00,2026-02-18 03:00:00,-1,P1,4879.55,4888.65,4834.050000000003,4888.65,-9.399999999999455,16,SL
2026-02-18 13:45:00,2026-02-18 14:00:00,1,P1,4912.19,4909.51,4925.5899999999965,4925.5899999999965,13.099999999996907,1,TP
2026-02-18 14:30:00,2026-02-18 16:30:00,1,P1,4929.57,4918.44,4985.22,4985.22,55.35000000000055,8,TP
2026-02-19 05:30:00,2026-02-19 13:30:00,1,P1,4977.21,4963.96,5043.46,4982.33,4.819999999999891,32,EOD
2026-02-19 14:00:00,2026-02-19 15:00:00,1,P1,4988.47,4975.1,5055.32,4975.1,-13.669999999999892,4,SL
2026-02-19 16:15:00,2026-02-19 16:30:00,1,P1,4974.68,4968.89,5003.63,4968.89,-6.089999999999963,1,SL
2026-02-19 22:30:00,2026-02-20 01:45:00,1,P1,4999.36,4986.22,5065.059999999997,4986.22,-13.439999999999419,9,SL
2026-02-20 02:30:00,2026-02-20 05:30:00,1,P1,4993.88,4985.13,5037.63,4985.13,-9.05,12,SL
2026-02-20 08:00:00,2026-02-20 16:00:00,1,P1,5016.45,4995.1,5123.199999999997,5043.66,26.910000000000036,32,EOD
2026-02-20 22:00:00,2026-02-23 01:00:00,1,P1,5079.53,5069.24,5130.98,5130.98,51.14999999999982,8,TP
2026-02-23 02:15:00,2026-02-23 02:45:00,1,P1,5153.07,5136.53,5235.7699999999995,5136.53,-16.839999999999964,2,SL
2026-02-23 05:15:00,2026-02-23 08:30:00,1,P1,5164.54,5149.21,5241.19,5149.21,-15.629999999999928,13,SL
2026-02-23 14:30:00,2026-02-23 16:00:00,1,P1,5164.62,5142.52,5275.119999999997,5142.52,-22.399999999999455,6,SL
2026-02-23 16:30:00,2026-02-24 01:30:00,1,P1,5191.35,5145.85,5418.85,5242.21,50.559999999999675,32,EOD
2026-02-24 08:00:00,2026-02-24 08:30:00,1,P1,5182.8,5164.62,5273.700000000002,5164.62,-18.48000000000029,2,SL
2026-02-24 13:30:00,2026-02-24 14:00:00,1,P1,5178.22,5168.02,5229.219999999999,5168.02,-10.499999999999819,2,SL
2026-02-24 16:00:00,2026-02-24 16:30:00,-1,P1,5104.97,5137.26,4943.52,5137.26,-32.58999999999996,2,SL
2026-02-25 14:00:00,2026-02-25 16:30:00,1,P1,5181.95,5169.27,5245.349999999997,5169.27,-12.979999999999382,10,SL
2026-02-26 05:00:00,2026-02-26 10:30:00,1,P1,5187.46,5171.22,5268.659999999999,5171.22,-16.539999999999782,22,SL
2026-02-26 13:15:00,2026-02-26 14:30:00,-1,P1,5171.9,5181.38,5124.499999999997,5181.38,-9.780000000000474,5,SL
2026-02-26 15:30:00,2026-02-26 17:45:00,-1,P1,5165.01,5181.82,5080.960000000003,5181.82,-17.10999999999949,9,SL
2026-02-26 22:00:00,2026-02-26 23:45:00,1,P1,5196.81,5183.52,5263.26,5183.52,-13.589999999999964,7,SL
2026-02-27 02:00:00,2026-02-27 02:30:00,1,P1,5185.8,5179.19,5218.850000000003,5179.19,-6.910000000000582,2,SL
2026-02-27 05:30:00,2026-02-27 09:15:00,1,P1,5187.17,5178.32,5231.420000000002,5178.32,-9.150000000000365,15,SL
2026-02-27 14:15:00,2026-02-27 15:00:00,1,P1,5186.92,5182.17,5210.67,5210.67,23.45,3,TP
2026-02-27 15:45:00,2026-02-27 23:45:00,1,P1,5223.1,5204.79,5314.650000000002,5280.14,56.73999999999997,32,EOD
2026-03-02 05:00:00,2026-03-02 13:00:00,1,P1,5354.9,5338.05,5439.149999999997,5388.06,32.86000000000077,32,EOD
2026-03-02 13:15:00,2026-03-02 13:45:00,1,P1,5391.17,5379.41,5449.970000000001,5379.41,-12.060000000000219,2,SL
