entry_time,exit_time,direction,pattern,entry,sl,tp,exit_price,pnl_points,bars_held,outcome
2026-02-17 18:30:00,2026-02-17 20:30:00,-1,P2,4878.56,4894.56,4798.56,4894.56,-16.3,8,SL
2026-02-18 12:00:00,2026-02-18 12:30:00,1,P2,4920.17,4913.27,4954.669999999998,4913.27,-7.199999999999636,2,SL
2026-02-18 14:00:00,2026-02-18 17:00:00,1,P2,4922.67,4906.55,5003.2699999999995,5003.2699999999995,80.29999999999946,12,TP
2026-02-18 18:30:00,2026-02-18 20:15:00,1,P2,5005.35,4988.45,5089.850000000003,4988.45,-17.200000000000546,7,SL
2026-02-18 21:00:00,2026-02-18 21:15:00,1,P2,4991.9,4979.45,5054.149999999999,4979.45,-12.749999999999819,1,SL
2026-02-18 22:30:00,2026-02-19 01:00:00,1,P2,4985.35,4973.65,5043.850000000004,4973.65,-12.000000000000728,6,SL
2026-02-19 06:30:00,2026-02-19 08:00:00,1,P2,4980.58,4976.72,4999.879999999998,4999.879999999998,18.999999999998362,6,TP
2026-02-19 15:30:00,2026-02-19 16:00:00,1,P2,4993.53,4976.68,5077.779999999997,4976.68,-17.149999999999455,2,SL
2026-02-19 16:45:00,2026-02-20 01:45:00,1,P2,5007.05,4960.86,5238.000000000003,4986.58,-20.770000000000255,32,EOD
2026-02-20 04:15:00,2026-02-20 05:00:00,1,P2,4997.89,4990.4,5035.340000000004,4990.4,-7.790000000000691,3,SL
2026-02-20 10:15:00,2026-02-20 17:00:00,1,P2,5019.12,5002.04,5104.5199999999995,5002.04,-17.379999999999928,27,SL
2026-02-20 19:45:00,2026-02-20 20:15:00,1,P2,5073.21,5062.75,5125.51,5062.75,-10.760000000000037,2,SL
2026-02-20 20:30:00,2026-02-23 01:15:00,1,P2,5067.86,5051.3,5150.659999999997,5150.659999999997,82.49999999999746,15,TP
2026-02-23 10:45:00,2026-02-23 18:45:00,1,P2,5139.84,5122.02,5228.939999999999,5210.46,70.3199999999999,32,EOD
2026-02-23 20:00:00,2026-02-24 03:00:00,1,P2,5212.74,5193.54,5308.739999999999,5193.54,-19.49999999999982,24,SL
2026-02-24 04:30:00,2026-02-24 06:00:00,1,P2,5185.15,5163.7,5292.399999999999,5163.7,-21.74999999999982,6,SL
2026-02-24 07:00:00,2026-02-24 07:30:00,1,P2,5171.76,5164.67,5207.210000000001,5164.67,-7.390000000000145,2,SL
2026-02-24 10:30:00,2026-02-24 14:15:00,1,P2,5174.58,5162.09,5237.029999999999,5162.09,-12.789999999999782,15,SL
2026-02-24 20:15:00,2026-02-24 22:30:00,-1,P2,5158.6,5172.98,5086.700000000004,5172.98,-14.6799999999992,9,SL
2026-02-25 04:15:00,2026-02-25 04:45:00,1,P2,5190.26,5179.91,5242.010000000002,5179.91,-10.650000000000365,2,SL
2026-02-25 10:15:00,2026-02-25 11:00:00,1,P2,5193.06,5183.2,5242.360000000003,5183.2,-10.160000000000583,3,SL
2026-02-25 13:45:00,2026-02-25 16:30:00,1,P2,5181.04,5163.66,5267.9400000000005,5163.66,-17.68000000000011,11,SL
2026-02-25 16:45:00,2026-02-25 22:45:00,1,P2,5191.81,5156.02,5370.76,5156.02,-36.08999999999996,24,SL
2026-02-26 07:00:00,2026-02-26 09:00:00,1,P2,5198.21,5187.42,5252.16,5187.42,-11.089999999999964,8,SL
2026-02-26 15:00:00,2026-02-26 17:45:00,-1,P2,5173.81,5190.83,5088.710000000003,5190.83,-17.319999999999528,11,SL
2026-02-26 19:00:00,2026-02-26 19:30:00,1,P2,5180.33,5172.52,5219.379999999997,5172.52,-8.109999999999491,2,SL
2026-02-26 20:45:00,2026-02-26 21:00:00,-1,P2,5180.49,5183.54,5165.239999999999,5183.54,-3.3500000000001817,1,SL
2026-02-27 05:15:00,2026-02-27 09:15:00,1,P2,5186.9,5178.15,5230.65,5178.15,-9.05,16,SL
2026-02-27 11:45:00,2026-02-27 13:45:00,-1,P2,5176.12,5185.15,5130.970000000001,5185.15,-9.329999999999746,8,SL
2026-02-27 16:15:00,2026-02-27 16:30:00,1,P2,5230.43,5214.44,5310.380000000004,5214.44,-16.290000000000692,1,SL
2026-02-27 17:00:00,2026-03-02 01:00:00,1,P2,5238.32,5210.79,5375.969999999998,5375.969999999998,137.34999999999872,28,TP
2026-03-02 07:30:00,2026-03-02 15:30:00,1,P2,5360.83,5337.98,5475.080000000002,5393.51,32.380000000000294,32,EOD
2026-03-02 19:15:00,2026-03-02 20:00:00,1,P2,5304.67,5290.47,5375.669999999999,5290.47,-14.499999999999819,3,SL
2026-03-02 20:45:00,2026-03-03 05:45:00,1,P2,5316.01,5287.82,5456.960000000003,5367.56,51.250000000000185,32,EOD
2026-03-03 12:30:00,2026-03-03 13:15:00,-1,P2,5259.28,5284.32,5134.08,5134.08,124.89999999999982,3,TP
2026-03-03 15:00:00,2026-03-03 23:00:00,-1,P2,5163.16,5229.6,4830.959999999997,5100.55,62.309999999999675,32,EOD
2026-03-04 04:45:00,2026-03-04 11:30:00,-1,P2,5155.3,5184.78,5007.900000000002,5184.78,-29.779999999999564,27,SL
2026-03-04 12:30:00,2026-03-04 13:00:00,-1,P2,5185.45,5195.69,5134.250000000001,5195.69,-10.539999999999782,2,SL
2026-03-04 13:45:00,2026-03-04 14:00:00,-1,P2,5192.7,5203.03,5141.05,5203.03,-10.629999999999928,1,SL
2026-03-04 15:45:00,2026-03-04 23:45:00,-1,P2,5169.69,5194.02,5048.039999999995,5139.18,30.209999999999308,32,EOD
2026-03-05 03:30:00,2026-03-05 04:15:00,-1,P2,5173.89,5181.89,5133.89,5181.89,-8.3,3,SL
2026-03-05 11:30:00,2026-03-05 17:00:00,-1,P2,5163.47,5180.28,5079.420000000003,5079.420000000003,83.74999999999746,22,TP
2026-03-05 18:00:00,2026-03-06 01:15:00,-1,P2,5082.64,5094.98,5020.940000000004,5094.98,-12.639999999999237,25,SL
2026-03-06 07:30:00,2026-03-06 13:45:00,-1,P2,5121.06,5132.18,5065.460000000001,5065.460000000001,55.29999999999946,25,TP
2026-03-06 23:00:00,2026-03-09 01:00:00,1,P2,5165.31,5147.66,5253.560000000003,5147.66,-17.950000000000546,4,SL
2026-03-09 08:15:00,2026-03-09 08:30:00,-1,P2,5095.31,5105.15,5046.110000000004,5105.15,-10.139999999999237,1,SL
2026-03-09 18:00:00,2026-03-09 18:15:00,-1,P2,5092.71,5099.15,5060.510000000002,5099.15,-6.7399999999996,1,SL
2026-03-09 20:00:00,2026-03-09 21:30:00,-1,P2,5099.75,5111.01,5043.449999999999,5111.01,-11.560000000000219,6,SL
